위도,경도,규모,cluster
54.449,-161.4835,3.8,1
-36.5495,179.9806,4.1,0
28.0575,128.2765,4.5,0
66.3199,-154.7163,3.3,1
-31.6206,-177.1656,5.3,0
51.9614,178.3048,3.4,1
-30.5055,59.8736,5.4,0
45.3253,150.4147,4.6,2
31.63830216,-104.4201385,3.1,1
-59.4524,-25.8138,5.0,2
-23.0643,172.0272,4.3,0
-7.1687,155.4125,4.1,0
-34.1158,-178.7609,4.6,0
-58.7905,-25.2951,5.0,2
-44.2286,-79.0514,5.1,0
-7.516,147.1755,4.4,2
17.95,-67.0186,3.17,1
-30.3975,-177.6518,4.7,0
26.9269,141.4383,4.3,2
29.6636,131.0354,4.4,0
17.5969,-93.6342,4.0,0
8.6069,-83.2363,4.6,0
-30.292,-177.1561,4.8,0
33.6241,91.0903,4.0,1
55.8895,163.0294,5.0,2
-7.8548,-13.6248,4.5,0
13.57,-91.1724,4.4,2
-20.6853,-175.4588,4.8,0
-6.6266,120.7417,4.8,0
47.6906,154.3413,4.9,2
-15.6226,-177.685,4.9,0
-0.5539,-20.3708,4.4,0
7.6647,-36.116,4.5,0
9.0062,-82.7972,4.0,1
7.1856,94.3492,4.4,0
53.365,-160.2941,5.4,0
-5.0253,152.1893,5.4,0
17.9405,-67.0808,3.24,1
53.0521,-166.9269,4.1,2
-33.7887,-178.0551,4.2,0
40.5415,-124.3725,4.54,0
32.3019,-101.7982,3.1,1
-59.9912,-24.3391,4.8,0
57.0513,-154.4156,3.9,2
41.8177,81.1623,5.3,0
6.0794,127.1222,4.6,2
54.43,-159.7374,3.1,1
-56.8486,-25.3418,4.7,0
0.2058,126.4529,4.8,0
12.9898,-89.6965,4.1,2
63.4127,-151.362,3.1,1
70.3855,-134.4776,4.8,0
-23.365,171.5059,4.7,0
-5.6791,151.4965,5.3,0
-16.6973,-177.1083,4.5,0
-56.8358,-25.1387,5.0,2
4.1661,126.7602,4.4,2
44.2107,-114.9526,3.5,1
-28.8151,-176.2429,4.6,0
28.8646,130.6526,5.5,0
54.0599,-164.4887,3.7,1
19.207,-155.435,3.32,1
61.4591,-149.3325,3.9,2
53.7373,-35.2242,4.5,0
38.1754,38.4545,4.2,0
19.2243,-64.8868,4.38,0
52.8158,-167.3943,3.1,1
51.0794,-178.0197,3.9,2
27.3279,55.5554,4.3,0
-19.9064,67.0564,4.4,0
5.2133,127.1573,4.2,2
-58.1896,-23.6214,4.9,0
-28.6453,-177.0093,5.6,0
20.777,38.2049,4.3,0
-25.231,-71.0856,4.6,2
46.2355,152.4045,4.3,2
6.2035,-76.254,5.1,0
18.3865,-67.4243333333333,3.32,1
29.7295,70.1934,4.3,0
44.545,-129.1654,4.2,0
54.4836,-159.8694,3.1,1
19.1308,-66.5198,3.97,1
38.5531667,-122.323,3.58,1
12.1184,-87.996,4.7,2
-26.8669,-176.0883,5.2,0
52.6599,-168.8097,3.8,1
25.1137,-109.7543,4.0,1
41.4361,33.5393,4.6,0
5.2744,125.4336,4.3,0
-55.7431,-145.1234,4.7,0
26.7999,126.4539,4.4,0
40.3806667,-125.2311667,4.39,0
-22.8898,170.1123,4.4,0
51.4027,178.7897,3.2,1
-60.1131,-24.6699,4.9,0
-23.1549,170.7589,5.1,0
34.3699,85.1572,4.6,0
53.8607,-35.197,4.5,0
-14.0609,-169.4643,3.6,1
-47.0019,163.8953,4.3,0
52.0123,-174.6242,3.9,2
-29.9913,-177.7607,4.7,0
-3.6751,139.6269,4.4,2
15.894,144.9009,4.9,0
-26.1349,-64.688,5.0,0
61.8285,-26.7415,4.9,0
5.3162,126.494,4.1,0
65.304,-162.9329,3.4,1
51.2039,-166.2314,3.4,1
-59.8384,-26.3058,5.0,2
-7.5911,-13.2087,4.7,0
38.0881,37.8449,4.5,0
-0.1198,96.6681,4.7,0
6.7283,-82.6978,4.6,0
53.781,-163.4328,3.4,1
44.0955,149.0492,4.2,2
-27.8456,-71.542,4.3,0
-29.2918,-176.8949,4.9,0
52.3337,-168.0663,3.4,1
43.2289,-128.1445,3.2,1
51.2083,-174.175,3.5,1
17.9565,-66.6128,3.17,1
0.2014,96.8145,4.2,0
36.2966,27.1552,4.4,0
-1.7229,138.9308,4.1,2
-3.6606,131.3756,4.5,0
54.9168,-159.8651,3.3,1
27.2714,53.0322,5.1,0
-2.2729,-12.2641,4.3,0
-18.2027,168.0251,4.8,0
65.3219,-145.4932,3.2,1
-6.5007,155.0307,5.8,2
35.1677,25.188,4.4,0
-48.6078,121.2875,4.8,0
17.8773,-66.9423,3.18,1
-27.1718,-175.8414,5.8,0
28.8485,142.4887,4.9,0
28.0346,54.8189,4.1,0
-9.6807,112.8975,4.1,2
-20.1032,-70.1956,3.7,2
22.6004,-45.1543,4.6,0
28.1796,105.3272,4.3,0
36.9327,66.6992,4.4,0
14.4765,122.0219,4.2,0
53.8926,-35.6101,5.0,0
17.7762,-60.9512,5.2,0
54.0247,-35.1786,4.6,0
17.6175,-68.354,3.9,2
5.3714,36.8629,4.4,0
12.9871,-90.2559,5.5,0
-23.7054,-175.771,5.3,0
-0.4706,-19.7894,5.4,0
-6.6285,147.3544,4.3,2
10.7665,-86.196,5.1,2
-59.1864,-25.4815,4.6,2
-9.4383,154.9017,4.2,0
19.0321,-67.8466,3.23,1
36.0172,36.1295,4.4,0
51.4709,-176.9415,3.9,2
13.9062,147.0354,4.3,0
12.4789,48.2459,4.2,0
40.3276667,-125.5935,3.07,1
-58.0497,-25.3558,4.7,0
-29.5523,-177.1645,4.9,0
42.1519,144.3451,4.6,0
-5.8906,153.1941,4.7,0
-9.2505,106.8199,4.2,0
38.5003,39.1965,4.2,0
-20.8913,-175.3593,5.0,0
37.7127,37.8001,4.4,0
24.5868,-109.1749,4.7,0
33.0651,126.0046,4.6,0
37.2919,36.8854,4.3,0
18.7915,-67.4283,3.24,1
19.2073,-64.4693,3.89,1
31.5724,-40.8289,4.6,0
14.3858,119.5872,4.4,0
-29.6423,-177.0346,4.4,0
18.4855,-73.5582,4.2,0
52.9369,-166.9344,3.3,1
-7.085,155.0967,4.6,0
-15.6984,-173.8232,4.8,2
19.3695,-64.8001,3.91,2
-4.9042,152.389,4.2,2
18.0323,-67.7085,3.12,1
39.489,144.7136,4.4,0
-37.6753,179.67,4.9,0
-65.4366,-179.5004,5.4,0
34.5245,70.126,4.1,2
9.9719,56.7208,4.2,0
38.4482,142.186,4.4,2
-5.9114,-81.1985,4.4,2
-50.1541,119.4884,4.4,0
-51.3304,139.9924,4.6,0
37.0419,-5.2649,4.0,1
34.5109,98.8979,4.1,0
35.6382,26.2555,4.3,0
32.3097,142.5673,4.3,0
15.581,-94.689,4.9,0
-42.1379,42.7644,4.6,0
14.4577,-93.2743,4.6,0
18.2393,-103.1024,4.1,0
-37.2925,-179.9906,4.3,0
17.8768,-66.8725,3.6,1
-2.7447,139.3718,4.3,2
23.4597,121.5099,5.1,0
-10.3082,160.9995,4.6,2
37.5621,20.9654,4.3,2
51.8693,-175.3246,3.4,2
-23.122,170.752,4.9,0
44.8034,-28.1394,4.6,0
29.5006,132.1538,4.8,0
19.6086,-65.7573,3.9,2
55.4924,-155.6819,3.3,1
18.7441,-64.9393,3.4,2
-0.1654,133.6499,4.1,2
-41.5765,173.5591,4.5,2
19.3853,-64.6968,3.93,1
-3.83,101.8367,4.9,2
13.4592,-90.4821,4.3,2
-14.8759,-173.5944,4.4,2
19.234,-155.389166666667,3.04,1
11.8101,144.4332,4.7,0
-60.7094,-25.5467,4.1,0
-7.2524,106.0683,5.3,0
1.7136,126.4084,5.2,0
12.8558,-88.5836,4.2,2
36.595,-121.2063333,3.9,0
-7.239,154.9656,4.2,0
38.6331,39.9916,4.4,0
-54.8013,158.6041,5.5,0
35.913,-0.3922,4.6,0
-14.9388,-173.2196,4.4,0
-28.502,-176.4925,4.2,0
34.4416,70.4644,4.7,2
-59.8904,-26.6311,4.8,0
39.1434,37.7879,4.4,0
45.4202,150.1729,4.6,2
-14.8304,166.5139,4.8,0
22.0009,120.247,4.3,0
37.3025,72.2847,4.5,2
-42.4527,120.026,4.5,0
-37.5596,-179.9373,4.4,0
64.1036,-22.1816,4.8,0
-3.0917,147.4701,4.6,0
0.3529,126.1181,4.4,2
47.0848,-27.2292,4.8,0
-29.8572,-177.1808,4.4,0
-27.7094,63.851,4.4,0
53.3852,-163.5138,3.3,1
2.1524,125.9305,4.7,0
-37.8209,179.9748,5.0,0
-3.8575,129.1967,4.4,2
-6.4311,147.7792,4.7,2
-30.3037,-177.1153,4.4,0
-16.9104,167.7581,4.8,2
-42.5893,-83.2103,5.0,0
-17.006,-172.5036,4.9,0
44.3456,-129.0273,3.3,1
43.3446,-126.8961,4.0,1
54.6943,-156.7433,3.3,1
36.5965,140.9286,4.3,2
61.2768,-150.103,3.6,1
13.938,-92.5124,4.6,0
61.3476,-146.8395,3.3,1
-22.7529,171.8362,4.3,0
-29.3196,-177.0144,5.1,0
-22.7278,172.1279,4.4,0
19.1266,-64.9098,3.42,2
35.5367,-3.4806,4.4,0
25.1951,-45.4962,4.3,0
24.1461,126.6505,4.3,0
-15.0446,-177.4759,4.3,0
52.5872,-168.377,3.1,1
-33.1099,-178.3803,4.8,0
-8.6645,-79.9001,4.9,2
33.1641,139.4569,4.3,0
14.1686,-92.1784,4.8,2
18.8993,-63.3747,3.3,1
-2.9252,141.2557,4.1,0
24.0326,142.9081,4.7,0
-37.7272,179.609,4.6,0
11.6687,144.3905,4.7,0
-60.2137,-24.9436,4.5,0
19.6358333333333,-65.8723333333333,3.4,1
-39.0052,178.1106,4.9,0
17.3265,-61.9155,4.2,2
-7.5115,30.4287,4.2,0
-5.7593,142.114,4.4,2
37.2183,142.2694,4.5,2
27.8177,142.9787,4.4,0
6.8479,-82.7032,4.3,0
1.7974,126.3859,5.7,0
40.86,-117.2229,3.2,1
54.4263,-159.7982,3.2,1
19.6926,-65.6526,3.81,1
-19.9726,-70.1109,4.2,2
19.1035,-64.9211,3.53,1
-58.1634,-23.3818,4.8,0
-57.0837,-24.9529,4.4,0
18.9146,-68.3863,3.82,1
-6.3392,147.7708,4.0,2
-4.4828,35.0514,4.0,1
37.8685,36.631,4.3,0
-48.2716,165.2533,5.5,0
50.5913,-173.3081,3.9,1
12.1357,-87.9138,4.3,2
-59.3713,-25.3304,4.4,0
37.3017,70.5188,4.6,2
-58.8653,-25.2377,4.7,2
-33.1685,78.1846,4.8,0
-17.69,167.617,5.1,0
-2.7224,139.7302,4.2,2
54.3509,-159.7487,3.2,1
64.2743,-149.883,3.5,1
19.6501,-65.753,3.91,2
-4.4452,152.8053,4.5,0
-3.0827,137.3178,5.1,2
-33.442,-72.2334,4.9,0
-31.706,-72.0551,4.4,0
0.8143,126.217,4.4,2
18.346,-106.1214,4.3,0
0.1975,96.6432,5.6,0
-15.0157,166.4464,4.2,0
22.0767,120.2935,4.5,0
